Provincia;Parejo
Buenos Aires;0.4340835846503892
Capital Federal;0.39250287824412805
Catamarca;0.5253876684896275
Chaco;0.4547043173465493
Chubut;0.27427677853490495
Corrientes;0.5967601941484512
Córdoba;0.4089293140385565
Entre Ríos;0.49785639509903945
Formosa;0.32660528609085837
Jujuy;0.28014268081044097
La Pampa;0.5321014207603143
La Rioja;0.4819248483432166
Mendoza;0.4132910612273405
Misiones;0.2569546394351133
Neuquén;0.25428264185860405
Río Negro;0.11938362002507646
Salta;0.2502500217810386
San Juan;0.43386564768594194
San Luis;0.4869517907115173
Santa Cruz;0.18557454526703301
Santa Fe;0.33307411673739185
Santiago del Estero;0.5827890051902495
Tierra del Fuego;0.3039861686181975
Tucumán;0.47236541447670183
